year,age_group,H1,H3,B,,,,,,
2010,0,4.074050349,8.036000256,3.625648581,,4.04,6.33,2.35,,
2010,5,13.01646275,12.07481904,12.35667158,,8.88,14.25,8.11,,
2010,25,13.09653449,14.70757799,4.61853821,,15.31,14.76,5.70,,
2010,65,1.223496253,11.80257511,1.367625392,,3.06,14.64,2.56,,
2011,0,3.03266407,11.09979023,1.965837579,,,,,,
2011,5,7.138148037,21.86394966,6.76056338,,,,,,
2011,25,7.935271202,19.97003296,3.655978424,,,,,,
2011,65,0.773149536,14.69583458,1.108780342,,,,,,
2012,0,0.673826612,8.697784892,3.562761398,,,,,,
2012,5,1.285692157,19.39381422,10.60308773,,,,,,
2012,25,2.261578975,22.5822275,6.100583467,,,,,,
2012,65,0.24526256,21.97294367,2.620436826,,,,,,
2013,0,8.861235513,1.107654439,1.080304947,,,,,,
2013,5,18.0096407,3.281939079,3.630645106,,,,,,
2013,25,40.51827288,4.088749103,4.875047007,,,,,,
2013,65,8.437318382,3.811835493,2.297357355,,,,,,
2014,0,0.062535958,7.786977512,1.340770943,,,,,,
2014,5,0.092553218,22.78810316,4.617655152,,,,,,
2014,25,0.222628011,22.89816645,5.012882407,,,,,,
2014,65,0.03001726,32.14848538,2.999224554,,,,,,
2015,0,7.541708543,1.266331658,2.516582915,,,,,,
2015,5,13.74472362,6.126633166,10.67738693,,,,,,
2015,25,27.81105528,4.341708543,9.91758794,,,,,,
2015,65,7.662311558,3.429145729,4.964824121,,,,,,